,price,bedrooms,bathrooms,sqft,city,state,latitude,longitude,homeType,homeStatus,distance_to_waterfront,additional_info,ind_HasGarage,features,ind_HasPool,ind_GolfCourseNearby,ind_ShoppingNearby,ind_Clubhouse,ind_RecreationNearby,ind_ParkNearby,ind_IsCornerLot,ind_IsCuldesac,price/sqft
67,2298000.0,7.0,2.0,2114.0,Delta,BC,49.088818,-123.04661,SINGLE_FAMILY,FOR_SALE,5.031561683387408,"{'garage_stalls': None, 'features': 'Central Location, Recreation Nearby, Shopping Nearby'}",0.0,"Central Location, Recreation Nearby, Shopping Nearby",False,False,True,False,True,False,False,False,1087.038789025544
68,899900.0,4.0,3.0,1689.0,Delta,BC,49.088577,-123.08325,TOWNHOUSE,FOR_SALE,6.681446701026926,"{'garage_stalls': 2, 'features': 'Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby'}",2.0,"Central Location, Marina Nearby, Recreation Nearby, Shopping Nearby",False,False,True,False,True,False,False,False,532.8004736530492
69,1549000.0,6.0,3.0,3049.0,Delta,BC,49.019924,-123.08923,SINGLE_FAMILY,FOR_SALE,1.3741210509128845,"{'garage_stalls': None, 'features': 'Central Location, Near Golf Course, Marina Nearby, Recreation Nearby, Shopping Nearby'}",0.0,"Central Location, Near Golf Course, Marina Nearby, Recreation Nearby, Shopping Nearby",False,True,True,False,True,False,False,False,508.03542144965564
70,459999.0,1.0,1.0,809.0,Delta,BC,49.022945,-123.07353,CONDO,FOR_SALE,3.1271666792054624,"{'garage_stalls': None, 'features': 'Central Location, Near Golf Course, Marina Nearby, Recreation Nearby, Shopping Nearby'}",0.0,"Central Location, Near Golf Course, Marina Nearby, Recreation Nearby, Shopping Nearby",False,True,True,False,True,False,False,False,568.6019777503091
71,1564900.0,3.0,2.0,2145.0,Delta,BC,49.031124,-123.07681,SINGLE_FAMILY,FOR_SALE,3.1097721432347574,"{'garage_stalls': 2, 'features': 'Near Golf Course, Recreation Nearby, Shopping Nearby'}",2.0,"Near Golf Course, Recreation Nearby, Shopping Nearby",False,True,True,False,True,False,False,False,729.5571095571096
72,645000.0,2.0,2.0,1060.0,Delta,BC,49.0231,-123.071075,CONDO,FOR_SALE,3.3887219429284112,"{'garage_stalls': None, 'features': 'Central Location, Recreation Nearby, Shopping Nearby'}",0.0,"Central Location, Recreation Nearby, Shopping Nearby",False,False,True,False,True,False,False,False,608.4905660377359
74,1549000.0,3.0,2.0,1538.0,Delta,BC,49.011124,-123.074,SINGLE_FAMILY,FOR_SALE,2.6102028399283026,"{'garage_stalls': 2, 'features': 'Central Location, Near Golf Course, Private, Recreation Nearby, Shopping Nearby'}",2.0,"Central Location, Near Golf Course, Private, Recreation Nearby, Shopping Nearby",False,True,True,False,True,False,False,False,1007.1521456436931
75,1374000.0,4.0,3.0,2064.0,Delta,BC,49.032364,-123.07472,SINGLE_FAMILY,FOR_SALE,3.376314587636438,"{'garage_stalls': None, 'features': 'Cul-De-Sac, Near Golf Course, Shopping Nearby, Garden'}",0.0,"Cul-De-Sac, Near Golf Course, Shopping Nearby, Garden",False,True,True,False,False,False,False,True,665.6976744186046
76,1600000.0,7.0,3.0,2832.0,Delta,BC,49.019844,-123.067894,SINGLE_FAMILY,FOR_SALE,3.590747967325958,"{'garage_stalls': None, 'features': 'Central Location, Near Golf Course, Marina Nearby, Recreation Nearby, Shopping Nearby'}",0.0,"Central Location, Near Golf Course, Marina Nearby, Recreation Nearby, Shopping Nearby",False,True,True,False,True,False,False,False,564.9717514124294
77,1890000.0,4.0,4.0,4601.0,Delta,BC,49.003212,-123.06627,SINGLE_FAMILY,FOR_SALE,3.101146933676927,"{'garage_stalls': 2, 'features': 'Central Location, Recreation Nearby'}",2.0,"Central Location, Recreation Nearby",False,False,False,False,True,False,False,False,410.7802651597479
78,3488000.0,7.0,7.0,6061.0,Delta,BC,49.00925,-123.071846,SINGLE_FAMILY,FOR_SALE,2.7601016848139226,"{'garage_stalls': 2, 'features': None}",2.0,NA,False,False,False,False,False,False,False,False,575.4825936314139
79,1799000.0,4.0,5.0,2602.0,Delta,BC,49.086277,-123.07623,SINGLE_FAMILY,FOR_SALE,6.140789616804838,"{'garage_stalls': 2, 'features': 'Central Location, Near Golf Course, Recreation Nearby, Shopping Nearby'}",2.0,"Central Location, Near Golf Course, Recreation Nearby, Shopping Nearby",False,True,True,False,True,False,False,False,691.391237509608
80,1998000.0,5.0,4.0,2848.0,Delta,BC,49.030457,-123.07845,SINGLE_FAMILY,FOR_SALE,2.9127361850596922,"{'garage_stalls': 2, 'features': 'Cul-De-Sac, Near Golf Course, Greenbelt, Marina Nearby, Recreation Nearby, Shopping Nearby, Garden'}",2.0,"Cul-De-Sac, Near Golf Course, Greenbelt, Marina Nearby, Recreation Nearby, Shopping Nearby, Garden",False,True,True,False,True,False,False,True,701.5449438202247
81,1328888.0,5.0,3.0,2879.0,Delta,BC,49.021027,-123.06767,SINGLE_FAMILY,FOR_SALE,3.6452072776369566,"{'garage_stalls': 1, 'features': 'Private, Recreation Nearby'}",1.0,"Private, Recreation Nearby",False,False,False,False,True,False,False,False,461.57971517888154
82,1360000.0,3.0,3.0,2560.0,Delta,BC,49.086754,-123.03728,SINGLE_FAMILY,FOR_SALE,4.552126238049341,"{'garage_stalls': 2, 'features': 'Cul-De-Sac, Private, Recreation Nearby, Shopping Nearby'}",2.0,"Cul-De-Sac, Private, Recreation Nearby, Shopping Nearby",False,False,True,False,True,False,False,True,531.25
83,2199900.0,5.0,4.0,3737.0,Delta,BC,49.015137,-123.06619,SINGLE_FAMILY,FOR_SALE,3.581653215748832,"{'garage_stalls': 3, 'features': 'Central Location, Near Golf Course, Private, Recreation Nearby, Shopping Nearby'}",3.0,"Central Location, Near Golf Course, Private, Recreation Nearby, Shopping Nearby",False,True,True,False,True,False,False,False,588.6807599678887
84,1099900.0,4.0,2.0,1900.0,Delta,BC,49.083015,-123.08796,MULTI_FAMILY,FOR_SALE,5.87722596898305,"{'garage_stalls': None, 'features': 'Cul-De-Sac, Recreation Nearby, Shopping Nearby, Garden'}",0.0,"Cul-De-Sac, Recreation Nearby, Shopping Nearby, Garden",False,False,True,False,True,False,False,True,578.8947368421053
86,1099000.0,3.0,1.0,1120.0,Delta,BC,49.091656,-123.062904,SINGLE_FAMILY,FOR_SALE,5.87092683147468,"{'garage_stalls': 2, 'features': 'Recreation Nearby, Shopping Nearby'}",2.0,"Recreation Nearby, Shopping Nearby",False,False,True,False,True,False,False,False,981.25
87,899000.0,2.0,2.0,1447.0,Delta,BC,49.021217,-123.06844,CONDO,FOR_SALE,3.588307599229033,"{'garage_stalls': None, 'features': 'Central Location, Near Golf Course, Recreation Nearby, Shopping Nearby'}",0.0,"Central Location, Near Golf Course, Recreation Nearby, Shopping Nearby",False,True,True,False,True,False,False,False,621.2854181064271
88,500000.0,1.0,1.0,770.0,Delta,BC,49.02812,-123.06936,CONDO,FOR_SALE,3.5260590875225986,"{'garage_stalls': None, 'features': 'Central Location, Near Golf Course, Recreation Nearby, Shopping Nearby'}",0.0,"Central Location, Near Golf Course, Recreation Nearby, Shopping Nearby",False,True,True,False,True,False,False,False,649.3506493506494
89,1690000.0,5.0,3.0,2871.0,Delta,BC,49.032196,-123.07936,SINGLE_FAMILY,FOR_SALE,2.8869174657155052,"{'garage_stalls': 2, 'features': None}",2.0,NA,False,False,False,False,False,False,False,False,588.6450714036921
