,price,bedrooms,bathrooms,has_garage,has_parking,sqft,city,state,latitude,longitude,price/sqft
52,4575000.0,2.0,2.0,0,0,1459.0,Newport Beach,CA,33.615044,-117.9075,3135.709389993146
53,2300000.0,6.0,5.0,0,0,3300.0,Costa Mesa,CA,33.64035,-117.91517,696.969696969697
54,7600000.0,5.0,6.0,0,0,3214.0,Newport Beach,CA,33.59923,-117.89077,2364.6546359676418
55,1180000.0,3.0,2.0,0,0,1436.0,Huntington Beach,CA,33.68395,-117.95081,821.7270194986072
56,1600000.0,4.0,3.0,0,0,2338.0,Costa Mesa,CA,33.693233,-117.9001,684.3455945252352
58,658000.0,3.0,2.0,0,0,1286.0,Huntington Beach,CA,33.65958,-117.972984,511.66407465007774
59,298000.0,2.0,3.0,0,0,1248.0,Costa Mesa,CA,33.641968,-117.93745,238.78205128205127
60,2850000.0,3.0,5.0,0,0,3295.0,Huntington Beach,CA,33.665943,-117.994736,864.9468892261001
61,7998000.0,8.0,5.0,0,0,3579.0,Newport Beach,CA,33.60689,-117.924,2234.7024308466052
62,3200000.0,5.0,4.0,0,0,3628.0,Newport Beach,CA,33.637737,-117.89241,882.0286659316428
63,1399000.0,4.0,2.0,0,0,1641.0,Costa Mesa,CA,33.678574,-117.92599,852.5289457647775
64,898000.0,3.0,2.0,0,0,1300.0,Huntington Beach,CA,33.652843,-117.9565,690.7692307692307
65,950000.0,3.0,2.0,0,0,1799.0,Costa Mesa,CA,33.686714,-117.87822,528.071150639244
66,1025000.0,4.0,2.0,0,0,1718.0,Costa Mesa,CA,33.657253,-117.93375,596.6239813736903
67,2899000.0,3.0,2.0,0,0,2241.0,Corona Del Mar,CA,33.606712,-117.86653,1293.6189201249442
69,7895000.0,3.0,4.0,0,0,2583.0,Newport Beach,CA,33.60271,-117.90316,3056.523422377081
70,3950000.0,6.0,5.0,0,0,2467.0,Newport Beach,CA,33.617535,-117.932976,1601.1349817592218
72,1349000.0,3.0,3.0,0,0,2231.0,Huntington Beach,CA,33.67703,-118.02292,604.661586732407
74,7850000.0,6.0,6.0,0,0,4925.0,Newport Beach,CA,33.61445,-117.90046,1593.9086294416243
75,1475000.0,3.0,2.0,0,0,1509.0,Costa Mesa,CA,33.684807,-117.92946,977.4685222001325
76,1325000.0,4.0,3.0,0,0,2190.0,Costa Mesa,CA,33.692345,-117.93483,605.0228310502283
77,1300000.0,3.0,2.0,0,0,1534.0,Huntington Beach,CA,33.670006,-117.96645,847.457627118644
78,1399000.0,4.0,2.0,0,0,1780.0,Huntington Beach,CA,33.669792,-117.97282,785.9550561797753
